episode,reward,avg_latency_us,deadline_misses,deadline_miss_rate,epsilon
136,-5.076,5425.24,4,0.4,0.5058
137,1.1295,4148.76,3,0.3,0.5032
138,-0.237,5577.38,3,0.3,0.5007
139,-5.3104,5692.1,4,0.4,0.4982
140,-5.578,5970.56,4,0.4,0.4957
141,10.9143,4429.66,1,0.1,0.4932
142,-5.0551,5426.28,4,0.4,0.4908
143,4.7808,5610.22,2,0.2,0.4883
144,4.0827,6339.5,2,0.2,0.4859
145,-5.4659,5860.66,4,0.4,0.4834
146,-0.8502,6230.22,3,0.3,0.481
147,-11.0681,6498.4,5,0.5,0.4786
148,-0.988,6416.16,3,0.3,0.4762
149,-1.029,6448.8,3,0.3,0.4738
150,4.5743,5782.72,2,0.2,0.4715
151,-1.5868,7027.56,3,0.3,0.4691
152,4.5114,5867.88,2,0.2,0.4668
153,-0.3747,5755.68,3,0.3,0.4644
154,5.3792,4958.48,2,0.2,0.4621
155,9.649,5741.5,1,0.1,0.4598
156,-6.0004,6394.6,4,0.4,0.4575
157,-1.4237,6849.34,3,0.3,0.4552
158,-6.0582,6462.64,4,0.4,0.4529
159,4.4043,5993.34,2,0.2,0.4507
160,-0.2795,5633.68,3,0.3,0.4484
161,-0.4734,5867.2,3,0.3,0.4462
162,-10.8604,6250.5,5,0.5,0.444
163,10.0644,5304.1,1,0.1,0.4417
164,-10.8343,6249.62,5,0.5,0.4395
165,9.4871,5925.38,1,0.1,0.4373
166,10.9197,4385.8,1,0.1,0.4351
167,-0.2735,5631.4,3,0.3,0.433
168,-11.4155,6827.28,5,0.5,0.4308
169,-5.088,5434.4,4,0.4,0.4286
170,4.7603,5598.5,2,0.2,0.4265
171,-0.4711,5863.8,3,0.3,0.4244
172,5.2969,5039.28,2,0.2,0.4223
173,-0.0029,5376.64,3,0.3,0.4201
174,-1.017,6412.1,3,0.3,0.418
175,4.7085,5642.56,2,0.2,0.4159
176,-5.8173,6188.68,4,0.4,0.4139
177,4.2902,6108.64,2,0.2,0.4118
178,5.5756,4738.3,2,0.2,0.4097
179,-5.4478,5830.76,4,0.4,0.4077
180,-0.5021,5888.96,3,0.3,0.4057
181,8.5248,6902.04,1,0.1,0.4036
182,-5.3686,5745.94,4,0.4,0.4016
183,4.832,5503.66,2,0.2,0.3996
184,0.0046,5326.8,3,0.3,0.3976
185,0.6016,4732.78,3,0.3,0.3956
186,9.5794,5785.08,1,0.1,0.3936
187,-10.9056,6309.4,5,0.5,0.3917
188,-5.1662,5538.02,4,0.4,0.3897
189,-6.242,6680.28,4,0.4,0.3878
190,4.8402,5514.58,2,0.2,0.3858
191,-4.7863,5116.74,4,0.4,0.3839
192,4.7572,5580.66,2,0.2,0.382
193,0.9614,4378.44,3,0.3,0.3801
